timeframe,atr_stop,take_profit_pct,bars,trades,net_pnl_usdc,return_pct,final_equity,max_drawdown_pct,winrate_pct,profit_factor,eligible,exit_sl,exit_tp,exit_signal
1H,2.0,2.2,2000,10,1.24,0.25,501.24,0.63,50.0,1.245,True,5,4,1
1H,1.2,1.8,2000,13,1.07,0.21,501.07,0.45,38.46,1.212,True,8,5,0
1H,2.0,1.4,2000,11,0.51,0.1,500.51,0.63,54.55,1.1,True,5,6,0
1H,2.0,1.8,2000,10,0.04,0.01,500.04,0.67,50.0,1.009,True,5,4,1
1H,1.2,2.2,2000,13,-0.28,-0.06,499.72,0.67,30.77,0.949,True,8,3,2
1H,1.2,1.4,2000,15,-0.4,-0.08,499.6,0.61,40.0,0.933,True,9,6,0
1H,1.0,1.8,2000,14,-0.45,-0.09,499.55,0.68,28.57,0.915,True,10,4,0
1H,1.5,1.8,2000,13,-1.28,-0.26,498.72,0.51,30.77,0.793,True,8,4,1
1H,1.0,1.4,2000,16,-1.49,-0.3,498.51,0.81,31.25,0.756,True,11,5,0
1H,1.5,2.2,2000,13,-2.0,-0.4,498.0,0.74,23.08,0.695,True,8,3,2
1H,1.0,2.2,2000,14,-2.1,-0.42,497.9,0.97,21.43,0.634,True,10,2,2
4H,1.0,1.8,2000,30,-2.58,-0.52,497.42,1.38,40.0,0.851,True,17,12,1
1H,1.5,1.4,2000,15,-2.64,-0.53,497.36,0.77,33.33,0.636,True,9,5,1
4H,1.0,1.4,2000,31,-3.5,-0.7,496.5,1.11,45.16,0.788,True,16,14,1
4H,1.2,1.8,2000,29,-4.26,-0.85,495.74,1.53,41.38,0.775,True,16,12,1
4H,1.2,1.4,2000,30,-5.03,-1.01,494.97,1.28,46.67,0.72,True,15,14,1
4H,1.2,2.2,2000,27,-6.62,-1.32,493.38,1.98,33.33,0.672,True,17,9,1
4H,1.0,2.2,2000,28,-7.17,-1.43,492.83,1.7,28.57,0.628,True,19,8,1
4H,1.5,1.8,2000,29,-8.09,-1.62,491.91,1.9,41.38,0.643,True,16,12,1
4H,1.5,1.4,2000,30,-8.65,-1.73,491.35,1.79,46.67,0.598,True,15,14,1
4H,1.5,2.2,2000,26,-9.24,-1.85,490.76,2.41,34.62,0.594,True,16,9,1
4H,2.0,1.8,2000,27,-10.72,-2.14,489.28,2.21,44.44,0.577,True,14,12,1
4H,2.0,1.4,2000,28,-10.94,-2.19,489.06,2.26,50.0,0.541,True,13,14,1
4H,2.0,2.2,2000,25,-16.24,-3.25,483.76,3.32,32.0,0.424,True,15,8,2
5m,1.0,1.4,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.0,1.8,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.0,2.2,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.2,1.4,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.2,1.8,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.2,2.2,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.5,1.4,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.5,1.8,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,1.5,2.2,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,2.0,1.4,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,2.0,1.8,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
5m,2.0,2.2,2000,0,0,0.0,500.0,0.0,0.0,,False,0,0,0
15m,1.0,1.4,2000,1,-0.31,-0.06,499.69,0.08,0.0,0.0,False,1,0,0
15m,1.0,1.8,2000,1,-0.31,-0.06,499.69,0.08,0.0,0.0,False,1,0,0
15m,1.0,2.2,2000,1,-0.31,-0.06,499.69,0.08,0.0,0.0,False,1,0,0
15m,1.2,1.4,2000,1,-0.35,-0.07,499.65,0.09,0.0,0.0,False,1,0,0
15m,1.2,1.8,2000,1,-0.35,-0.07,499.65,0.09,0.0,0.0,False,1,0,0
15m,1.2,2.2,2000,1,-0.35,-0.07,499.65,0.09,0.0,0.0,False,1,0,0
15m,1.5,1.4,2000,1,-0.41,-0.08,499.59,0.1,0.0,0.0,False,1,0,0
15m,1.5,1.8,2000,1,-0.41,-0.08,499.59,0.1,0.0,0.0,False,1,0,0
15m,1.5,2.2,2000,1,-0.41,-0.08,499.59,0.1,0.0,0.0,False,1,0,0
15m,2.0,1.4,2000,1,-0.5,-0.1,499.5,0.12,0.0,0.0,False,1,0,0
15m,2.0,1.8,2000,1,-0.5,-0.1,499.5,0.12,0.0,0.0,False,1,0,0
15m,2.0,2.2,2000,1,-0.5,-0.1,499.5,0.12,0.0,0.0,False,1,0,0
